region,abbr,id,year,voting
Mexico,MEX,3,1900,0
Mexico,MEX,3,1901,0
Mexico,MEX,3,1902,0
Mexico,MEX,3,1903,0
Mexico,MEX,3,1904,0
Mexico,MEX,3,1905,0
Mexico,MEX,3,1906,0
Mexico,MEX,3,1907,0
Mexico,MEX,3,1908,0
Mexico,MEX,3,1909,0
Mexico,MEX,3,1910,0
Mexico,MEX,3,1911,0
Mexico,MEX,3,1912,0
Mexico,MEX,3,1913,0
Mexico,MEX,3,1914,0
Mexico,MEX,3,1915,0
Mexico,MEX,3,1916,0
Mexico,MEX,3,1917,0
Mexico,MEX,3,1918,0
Mexico,MEX,3,1919,0
Mexico,MEX,3,1920,0
Mexico,MEX,3,1921,0
Mexico,MEX,3,1922,0
Mexico,MEX,3,1923,0
Mexico,MEX,3,1924,0
Mexico,MEX,3,1925,0
Mexico,MEX,3,1926,0
Mexico,MEX,3,1927,0
Mexico,MEX,3,1928,0
Mexico,MEX,3,1929,0
Mexico,MEX,3,1930,0
Mexico,MEX,3,1931,0
Mexico,MEX,3,1932,0
Mexico,MEX,3,1933,0
Mexico,MEX,3,1934,0
Mexico,MEX,3,1935,0
Mexico,MEX,3,1936,0
Mexico,MEX,3,1937,0
Mexico,MEX,3,1938,0
Mexico,MEX,3,1939,0
Mexico,MEX,3,1940,0
Mexico,MEX,3,1941,0
Mexico,MEX,3,1942,0
Mexico,MEX,3,1943,0
Mexico,MEX,3,1944,0
Mexico,MEX,3,1945,0
Mexico,MEX,3,1946,0
Mexico,MEX,3,1947,0
Mexico,MEX,3,1948,0
Mexico,MEX,3,1949,0
Mexico,MEX,3,1950,0
Mexico,MEX,3,1951,0
Mexico,MEX,3,1952,0
Mexico,MEX,3,1953,0
Mexico,MEX,3,1954,0
Mexico,MEX,3,1955,100
Mexico,MEX,3,1956,100
Mexico,MEX,3,1957,100
Mexico,MEX,3,1958,100
Mexico,MEX,3,1959,100
Mexico,MEX,3,1960,100
Mexico,MEX,3,1961,100
Mexico,MEX,3,1962,100
Mexico,MEX,3,1963,100
Mexico,MEX,3,1964,100
Mexico,MEX,3,1965,100
Mexico,MEX,3,1966,100
Mexico,MEX,3,1967,100
Mexico,MEX,3,1968,100
Mexico,MEX,3,1969,100
Mexico,MEX,3,1970,100
Mexico,MEX,3,1971,100
Mexico,MEX,3,1972,100
Mexico,MEX,3,1973,100
Mexico,MEX,3,1974,100
Mexico,MEX,3,1975,100
Mexico,MEX,3,1976,100
Mexico,MEX,3,1977,100
Mexico,MEX,3,1978,100
Mexico,MEX,3,1979,100
Mexico,MEX,3,1980,100
Mexico,MEX,3,1981,100
Mexico,MEX,3,1982,100
Mexico,MEX,3,1983,100
Mexico,MEX,3,1984,100
Mexico,MEX,3,1985,100
Mexico,MEX,3,1986,100
Mexico,MEX,3,1987,100
Mexico,MEX,3,1988,100
Mexico,MEX,3,1989,100
Mexico,MEX,3,1990,100
Mexico,MEX,3,1991,100
Mexico,MEX,3,1992,100
Mexico,MEX,3,1993,100
Mexico,MEX,3,1994,100
Mexico,MEX,3,1995,100
Mexico,MEX,3,1996,100
Mexico,MEX,3,1997,100
Mexico,MEX,3,1998,100
Mexico,MEX,3,1999,100
Mexico,MEX,3,2000,100
Suriname,SUR,4,1900,0
Suriname,SUR,4,1901,0
Suriname,SUR,4,1902,0
Suriname,SUR,4,1903,0
Suriname,SUR,4,1904,0
Suriname,SUR,4,1905,0
Suriname,SUR,4,1906,0
Suriname,SUR,4,1907,0
Suriname,SUR,4,1908,0
Suriname,SUR,4,1909,0
Suriname,SUR,4,1910,0
Suriname,SUR,4,1911,0
Suriname,SUR,4,1912,0
Suriname,SUR,4,1913,0
Suriname,SUR,4,1914,0
Suriname,SUR,4,1915,0
Suriname,SUR,4,1916,0
Suriname,SUR,4,1917,0
Suriname,SUR,4,1918,0
Suriname,SUR,4,1919,0
Suriname,SUR,4,1920,0
Suriname,SUR,4,1921,0
Suriname,SUR,4,1922,0
Suriname,SUR,4,1923,0
Suriname,SUR,4,1924,0
Suriname,SUR,4,1925,0
Suriname,SUR,4,1926,0
Suriname,SUR,4,1927,0
Suriname,SUR,4,1928,0
Suriname,SUR,4,1929,0
Suriname,SUR,4,1930,0
Suriname,SUR,4,1931,0
Suriname,SUR,4,1932,0
Suriname,SUR,4,1933,0
Suriname,SUR,4,1934,0
Suriname,SUR,4,1935,0
Suriname,SUR,4,1936,0
Suriname,SUR,4,1937,0
Suriname,SUR,4,1938,0
Suriname,SUR,4,1939,0
Suriname,SUR,4,1940,0
Suriname,SUR,4,1941,0
Suriname,SUR,4,1942,0
Suriname,SUR,4,1943,0
Suriname,SUR,4,1944,0
Suriname,SUR,4,1945,0
Suriname,SUR,4,1946,0
Suriname,SUR,4,1947,0
Suriname,SUR,4,1948,0
Suriname,SUR,4,1949,100
Suriname,SUR,4,1950,100
Suriname,SUR,4,1951,100
Suriname,SUR,4,1952,100
Suriname,SUR,4,1953,100
Suriname,SUR,4,1954,100
Suriname,SUR,4,1955,100
Suriname,SUR,4,1956,100
Suriname,SUR,4,1957,100
Suriname,SUR,4,1958,100
Suriname,SUR,4,1959,100
Suriname,SUR,4,1960,100
Suriname,SUR,4,1961,100
Suriname,SUR,4,1962,100
Suriname,SUR,4,1963,100
Suriname,SUR,4,1964,100
Suriname,SUR,4,1965,100
Suriname,SUR,4,1966,100
Suriname,SUR,4,1967,100
Suriname,SUR,4,1968,100
Suriname,SUR,4,1969,100
Suriname,SUR,4,1970,100
Suriname,SUR,4,1971,100
Suriname,SUR,4,1972,100
Suriname,SUR,4,1973,100
Suriname,SUR,4,1974,100
Suriname,SUR,4,1975,100
Suriname,SUR,4,1976,100
Suriname,SUR,4,1977,100
Suriname,SUR,4,1978,100
Suriname,SUR,4,1979,100
Suriname,SUR,4,1980,0
Suriname,SUR,4,1981,0
Suriname,SUR,4,1982,0
Suriname,SUR,4,1983,0
Suriname,SUR,4,1984,0
Suriname,SUR,4,1985,0
Suriname,SUR,4,1986,0
Suriname,SUR,4,1987,100
Suriname,SUR,4,1988,100
Suriname,SUR,4,1989,100
Suriname,SUR,4,1990,100
Suriname,SUR,4,1991,100
Suriname,SUR,4,1992,100
Suriname,SUR,4,1993,100
Suriname,SUR,4,1994,100
Suriname,SUR,4,1995,100
Suriname,SUR,4,1996,100
Suriname,SUR,4,1997,100
Suriname,SUR,4,1998,100
Suriname,SUR,4,1999,100
Suriname,SUR,4,2000,100
Sweden,SWE,5,1900,0
Sweden,SWE,5,1901,0
Sweden,SWE,5,1902,0
Sweden,SWE,5,1903,0
Sweden,SWE,5,1904,0
Sweden,SWE,5,1905,0
Sweden,SWE,5,1906,0
Sweden,SWE,5,1907,0
Sweden,SWE,5,1908,0
Sweden,SWE,5,1909,0
Sweden,SWE,5,1910,0
Sweden,SWE,5,1911,0
Sweden,SWE,5,1912,0
Sweden,SWE,5,1913,0
Sweden,SWE,5,1914,0
Sweden,SWE,5,1915,0
Sweden,SWE,5,1916,0
Sweden,SWE,5,1917,0
Sweden,SWE,5,1918,0
Sweden,SWE,5,1919,0
Sweden,SWE,5,1920,0
Sweden,SWE,5,1921,100
Sweden,SWE,5,1922,100
Sweden,SWE,5,1923,100
Sweden,SWE,5,1924,100
