year,category,count
1900,developing,25
1900,emerging,35
1900,established,2
1900,nascent,56
1901,developing,25
1901,emerging,35
1901,established,2
1901,nascent,56
1902,developing,25
1902,emerging,37
1902,established,2
1902,nascent,56
1903,developing,27
1903,emerging,37
1903,established,2
1903,nascent,57
1904,developing,27
1904,emerging,38
1904,established,2
1904,nascent,58
1905,developing,27
1905,emerging,39
1905,established,2
1905,nascent,57
1906,developing,28
1906,emerging,39
1906,established,2
1906,nascent,57
1907,developing,27
1907,emerging,39
1907,established,3
1907,nascent,56
1908,developing,27
1908,emerging,39
1908,established,3
1908,nascent,56
1909,developing,27
1909,emerging,39
1909,established,3
1909,nascent,56
1910,developing,26
1910,emerging,39
1910,established,4
1910,nascent,57
1911,developing,26
1911,emerging,39
1911,established,4
1911,nascent,60
1912,developing,26
1912,emerging,40
1912,established,4
1912,nascent,60
1913,developing,25
1913,emerging,41
1913,established,5
1913,nascent,59
1914,developing,25
1914,emerging,42
1914,established,5
1914,nascent,58
1915,developing,24
1915,emerging,43
1915,established,6
1915,nascent,58
1916,developing,23
1916,emerging,44
1916,established,7
1916,nascent,61
1917,developing,23
1917,emerging,45
1917,established,7
1917,nascent,60
1918,developing,26
1918,emerging,48
1918,established,10
1918,nascent,60
1919,developing,28
1919,emerging,48
1919,established,10
1919,nascent,60
1920,developing,30
1920,emerging,46
1920,established,9
1920,nascent,62
1921,developing,30
1921,emerging,46
1921,established,11
1921,nascent,61
1922,developing,29
1922,emerging,48
1922,established,10
1922,nascent,62
1923,developing,29
1923,emerging,47
1923,established,9
1923,nascent,62
1924,developing,29
1924,emerging,50
1924,established,9
1924,nascent,58
1925,developing,29
1925,emerging,50
1925,established,9
1925,nascent,58
1926,developing,28
1926,emerging,50
1926,established,10
1926,nascent,58
1927,developing,28
1927,emerging,49
1927,established,10
1927,nascent,58
1928,developing,28
1928,emerging,49
1928,established,10
1928,nascent,58
1929,developing,28
1929,emerging,49
1929,established,10
1929,nascent,58
1930,developing,29
1930,emerging,49
1930,established,10
1930,nascent,58
1931,developing,28
1931,emerging,52
1931,established,10
1931,nascent,56
1932,developing,31
1932,emerging,48
1932,established,10
1932,nascent,55
1933,developing,30
1933,emerging,47
1933,established,10
1933,nascent,55
1934,developing,31
1934,emerging,44
1934,established,11
1934,nascent,57
1935,developing,32
1935,emerging,44
1935,established,11
1935,nascent,56
1936,developing,33
1936,emerging,43
1936,established,11
1936,nascent,57
1937,developing,32
1937,emerging,44
1937,established,11
1937,nascent,57
1938,developing,32
1938,emerging,44
1938,established,11
1938,nascent,57
1939,developing,31
1939,emerging,45
1939,established,10
1939,nascent,57
1940,developing,31
1940,emerging,45
1940,established,7
1940,nascent,58
1941,developing,30
1941,emerging,45
1941,established,8
1941,nascent,58
1942,developing,28
1942,emerging,47
1942,established,9
1942,nascent,56
1943,developing,28
1943,emerging,47
1943,established,9
1943,nascent,56
1944,developing,27
1944,emerging,48
1944,established,9
1944,nascent,56
1945,developing,32
1945,emerging,46
1945,established,12
1945,nascent,51
1946,developing,32
1946,emerging,41
1946,established,20
1946,nascent,50
1947,developing,32
1947,emerging,43
1947,established,22
1947,nascent,47
1948,developing,32
1948,emerging,43
1948,established,23
1948,nascent,47
1949,developing,30
1949,emerging,44
1949,established,26
1949,nascent,46
1950,developing,33
1950,emerging,38
1950,established,29
1950,nascent,45
1951,developing,34
1951,emerging,37
1951,established,29
1951,nascent,45
1952,developing,36
1952,emerging,36
1952,established,29
1952,nascent,44
1953,developing,36
1953,emerging,37
1953,established,28
1953,nascent,43
1954,developing,36
1954,emerging,37
1954,established,29
1954,nascent,42
1955,developing,37
1955,emerging,36
1955,established,28
1955,nascent,43
1956,developing,38
1956,emerging,38
