"","region","abbr","id","year","voting","category","categoryvalue","change_point","continent"
"1","Afghanistan","AFG",36,1965,1,"emerging",2,"Change","Asia"
"2","Afghanistan","AFG",36,1973,0,"nascent",1,"No Change","Asia"
"3","Afghanistan","AFG",36,1988,1,"emerging",2,"Change","Asia"
"4","Afghanistan","AFG",36,1992,0,"nascent",1,"No Change","Asia"
"5","Albania","ALB",12,1921,1,"nascent",1,"Change","Europe"
"6","Albania","ALB",12,1924,0,"nascent",1,"No Change","Europe"
"7","Albania","ALB",12,1925,1,"nascent",1,"Change","Europe"
"8","Albania","ALB",12,1928,0,"nascent",1,"No Change","Europe"
"9","Albania","ALB",12,1946,1,"emerging",2,"Change","Europe"
"10","Algeria","DZA",103,1948,1,"nascent",1,"Change","Africa"
"11","Algeria","DZA",103,1957,0,"nascent",1,"No Change","Africa"
"12","Algeria","DZA",103,1962,1,"emerging",2,"Change","Africa"
"13","Algeria","DZA",103,1965,0,"developing",3,"No Change","Africa"
"14","Algeria","DZA",103,1977,1,"developing",3,"Change","Africa"
"15","Algeria","DZA",103,1992,0,"developing",3,"No Change","Africa"
"16","Algeria","DZA",103,1995,1,"developing",3,"Change","Africa"
"17","Angola","AGO",104,1973,1,"emerging",2,"Change","Africa"
"18","Angola","AGO",104,1975,0,"emerging",2,"No Change","Africa"
"19","Angola","AGO",104,1980,1,"developing",3,"Change","Africa"
"20","Argentina","ARG",37,1951,1,"established",4,"Change","Americas"
"21","Argentina","ARG",37,1955,0,"developing",3,"No Change","Americas"
"22","Argentina","ARG",37,1958,1,"developing",3,"Change","Americas"
"23","Argentina","ARG",37,1962,0,"developing",3,"No Change","Americas"
"24","Argentina","ARG",37,1963,1,"developing",3,"Change","Americas"
"25","Argentina","ARG",37,1966,0,"developing",3,"No Change","Americas"
"26","Argentina","ARG",37,1973,1,"established",4,"Change","Americas"
"27","Argentina","ARG",37,1976,0,"developing",3,"No Change","Americas"
"28","Argentina","ARG",37,1983,1,"established",4,"Change","Americas"
"29","Australia","AUS",67,1901,1,"developing",3,"Change","Oceania"
"30","Austria","AUT",144,1919,1,"developing",3,"Change","Europe"
"31","Austria","AUT",144,1934,0,"emerging",2,"No Change","Europe"
"32","Austria","AUT",144,1945,1,"developing",3,"Change","Europe"
"33","Bangladesh","BGD",24,1972,1,"established",4,"Change","Asia"
"34","Bangladesh","BGD",24,1975,0,"developing",3,"No Change","Asia"
"35","Bangladesh","BGD",24,1978,1,"established",4,"Change","Asia"
"36","Bangladesh","BGD",24,1982,0,"established",4,"No Change","Asia"
"37","Bangladesh","BGD",24,1986,1,"established",4,"Change","Asia"
"38","Bangladesh","BGD",24,1990,0,"established",4,"No Change","Asia"
"39","Bangladesh","BGD",24,1991,1,"established",4,"Change","Asia"
"40","Barbados","BRB",147,1944,1,"developing",3,"Change","Americas"
"41","Belgium","BEL",148,1946,1,"established",4,"Change","Europe"
"42","Benin","BEN",52,1947,1,"developing",3,"Change","Africa"
"43","Benin","BEN",52,1963,0,"established",4,"No Change","Africa"
"44","Benin","BEN",52,1964,1,"established",4,"Change","Africa"
"45","Benin","BEN",52,1965,0,"established",4,"No Change","Africa"
"46","Benin","BEN",52,1979,1,"established",4,"Change","Africa"
"47","Benin","BEN",52,1990,0,"established",4,"No Change","Africa"
"48","Benin","BEN",52,1991,1,"established",4,"Change","Africa"
"49","Bolivia","BOL",25,1956,1,"emerging",2,"Change","Americas"
"50","Bolivia","BOL",25,1964,0,"emerging",2,"No Change","Americas"
"51","Bolivia","BOL",25,1966,1,"emerging",2,"Change","Americas"
"52","Bolivia","BOL",25,1969,0,"emerging",2,"No Change","Americas"
"53","Bolivia","BOL",25,1979,1,"emerging",2,"Change","Americas"
"54","Bolivia","BOL",25,1980,0,"emerging",2,"No Change","Americas"
"55","Bolivia","BOL",25,1982,1,"developing",3,"Change","Americas"
"56","Bosnia and Herzegovina","BIH",150,1996,1,"established",4,"Change","Europe"
"57","Botswana","BWA",68,1921,1,"nascent",1,"Change","Africa"
"58","Botswana","BWA",68,1961,0,"emerging",2,"No Change","Africa"
"59","Botswana","BWA",68,1965,1,"emerging",2,"Change","Africa"
"60","Brazil","BRA",19,1933,1,"developing",3,"Change","Americas"
"61","Brazil","BRA",19,1937,0,"developing",3,"No Change","Americas"
"62","Brazil","BRA",19,1946,1,"developing",3,"Change","Americas"
